2022-12-04 16:27:57.359549,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:27:58.400256,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:27:58.495954,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:27:58.576412,INFO,WAIT,Wait mode has started
2022-12-04 16:27:58.607732,INFO,WAIT,Check low power
2022-12-04 16:27:58.672691,INFO,WAIT,Check receiving uplink command
2022-12-04 16:27:58.720122,INFO,WAIT,Check antenna deployment status
2022-12-04 16:27:58.784223,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:27:59.873088,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:27:59.920477,INFO,MDR,Mission data record mode has started
2022-12-04 16:27:59.968888,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:28:00.032297,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:28:00.080736,INFO,WAIT,Check low power
2022-12-04 16:28:00.113102,INFO,WAIT,Check timed command
2022-12-04 16:28:00.160862,INFO,WAIT,Check receiving uplink command
2022-12-04 16:28:00.208881,INFO,WAIT,Check antenna deployment status
2022-12-04 16:28:00.256761,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:28:00.320749,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:28:01.360474,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:28:01.409279,INFO,MDR,Mission data record mode has started
2022-12-04 16:28:01.457170,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:28:01.504926,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:28:01.568824,INFO,WAIT,Check low power
2022-12-04 16:28:01.600820,INFO,WAIT,Check timed command
2022-12-04 16:28:01.648379,INFO,WAIT,Check receiving uplink command
2022-12-04 16:28:01.681280,INFO,WAIT,Check antenna deployment status
2022-12-04 16:28:01.745171,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
